time,frequency,confidence
6.520,262.040,0.964467
6.530,261.960,0.962562
6.540,261.884,0.959435
6.550,261.950,0.960967
6.560,261.942,0.959665
6.570,261.983,0.962365
6.580,261.988,0.958613
6.590,261.992,0.958519
6.600,261.034,0.904580
6.610,259.407,0.822877
6.620,255.994,0.508035
6.630,247.863,0.457286
6.640,248.005,0.649885
6.650,249.302,0.778402
6.660,251.036,0.893351
6.670,250.825,0.911938
6.680,249.432,0.874542
6.690,248.177,0.901082
6.700,248.183,0.892232
6.710,247.571,0.913309
6.720,247.787,0.927712
6.730,248.519,0.924079
6.740,248.696,0.925701
6.750,247.997,0.937207
6.760,247.194,0.932967
6.770,247.092,0.925971
6.780,247.192,0.926683
6.790,247.297,0.933029
6.800,247.931,0.939930
6.810,248.121,0.943501
6.820,247.653,0.943969
6.830,247.413,0.943315
6.840,247.501,0.941620
6.850,247.586,0.942204
6.860,247.610,0.941152
6.870,247.920,0.942781
6.880,247.774,0.937368
6.890,247.593,0.933960
6.900,247.369,0.930626
6.910,247.536,0.938334
6.920,247.475,0.943350
6.930,247.587,0.946103
6.940,247.684,0.947311
6.950,247.547,0.944587
6.960,247.349,0.942112
6.970,247.261,0.936619
6.980,247.329,0.934093
6.990,247.261,0.933134
7.000,247.405,0.937973
7.010,247.650,0.943499
7.020,247.651,0.947423
7.030,247.622,0.947781
7.040,247.603,0.949196
7.050,247.581,0.945550
7.060,247.586,0.945557
7.070,247.578,0.940133
7.080,247.415,0.934612
7.090,247.016,0.902141
7.100,245.905,0.794065
7.110,244.629,0.600839
7.120,244.527,0.479985
7.130,227.162,0.318808
7.140,225.312,0.367273
7.150,222.938,0.457445
7.160,222.210,0.595730
7.170,224.793,0.494716
7.180,224.757,0.480689
7.190,221.604,0.677270
7.200,221.404,0.699006
7.210,222.950,0.616064
7.220,222.302,0.659997
7.230,220.735,0.762596
7.240,221.827,0.731067
7.250,221.984,0.805044
7.260,221.267,0.842823
7.270,220.661,0.867031
7.280,221.629,0.866257
7.290,221.313,0.893033
7.300,220.642,0.918357
7.310,220.871,0.913199
7.320,221.353,0.920229
7.330,221.042,0.930016
7.340,220.365,0.938098
7.350,220.804,0.942507
7.360,221.024,0.940162
7.370,220.592,0.948738
7.380,220.436,0.943933
7.390,220.747,0.951584
7.400,220.896,0.950374
7.410,220.418,0.946378
7.420,220.325,0.945352
7.430,220.649,0.948763
7.440,220.721,0.955060
7.450,220.475,0.948121
7.460,220.529,0.951023
7.470,220.706,0.954885
7.480,220.477,0.947439
7.490,220.388,0.953104
7.500,220.570,0.950367
7.510,220.633,0.950825
7.520,220.521,0.953061
7.530,220.535,0.949714
7.540,220.649,0.956144
7.550,220.531,0.948982
7.560,220.331,0.947731
7.570,220.405,0.948608
7.580,220.658,0.949207
7.590,221.378,0.932909
7.600,222.001,0.872698
7.610,220.920,0.792515
7.620,217.670,0.613985
7.630,203.063,0.341168
7.640,198.793,0.660430
7.650,197.328,0.735085
7.660,197.724,0.753523
7.670,198.833,0.767683
7.680,198.754,0.732861
7.690,196.991,0.843256
7.700,196.695,0.855279
7.710,197.210,0.865575
7.720,197.630,0.849636
7.730,196.766,0.886436
7.740,196.206,0.895579
7.750,196.606,0.916049
7.760,197.040,0.915959
7.770,196.710,0.918855
7.780,196.422,0.916063
7.790,196.801,0.931690
7.800,197.168,0.929729
7.810,196.672,0.938456
7.820,196.257,0.931286
7.830,196.527,0.934723
7.840,196.875,0.933535
7.850,196.799,0.938547
7.860,196.492,0.944286
7.870,196.406,0.938148
7.880,196.648,0.938939
7.890,196.573,0.935669
7.900,196.476,0.939466
7.910,196.591,0.942015
7.920,196.652,0.944808
7.930,196.448,0.941508
7.940,196.426,0.939259
7.950,196.535,0.935337
7.960,196.797,0.937450
7.970,196.886,0.938565
7.980,196.600,0.943015
7.990,196.439,0.937921
8.000,196.598,0.937605
8.010,196.718,0.935008
8.020,196.788,0.939146
8.030,196.751,0.941638
8.040,196.673,0.942569
